Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,0.029,0.03,0.029,0.03,0.03,88827461
2020-03-25,0.03,0.03,0.029,0.029,0.029,83388813
2020-03-26,0.029,0.031,0.029,0.031,0.031,81633746
2020-03-27,0.031,0.031,0.029,0.029,0.029,85517314
2020-03-28,0.029,0.03,0.028,0.03,0.03,85338156
2020-03-29,0.03,0.03,0.028,0.028,0.028,71027469
2020-03-30,0.028,0.03,0.028,0.03,0.03,81661518
2020-03-31,0.03,0.031,0.03,0.031,0.031,79871856
2020-04-01,0.031,0.031,0.03,0.031,0.031,92295629
2020-04-02,0.031,0.033,0.031,0.032,0.032,106987595
2020-04-03,0.032,0.033,0.032,0.032,0.032,89797916
2020-04-04,0.032,0.033,0.032,0.033,0.033,89146987
2020-04-05,0.033,0.033,0.032,0.032,0.032,64845688
2020-04-06,0.032,0.036,0.032,0.036,0.036,117138445
2020-04-07,0.036,0.037,0.035,0.035,0.035,117230378
2020-04-08,0.035,0.037,0.035,0.036,0.036,100892761
2020-04-09,0.036,0.037,0.036,0.036,0.036,86398497
2020-04-10,0.036,0.036,0.033,0.033,0.033,95977717
2020-04-11,0.033,0.034,0.033,0.033,0.033,75648111
2020-04-12,0.033,0.035,0.033,0.034,0.034,73751090
2020-04-13,0.034,0.034,0.032,0.033,0.033,84000834
2020-04-14,0.033,0.034,0.033,0.033,0.033,74633336
2020-04-15,0.033,0.034,0.032,0.032,0.032,68238171
2020-04-16,0.032,0.035,0.031,0.034,0.034,101314083
2020-04-17,0.034,0.035,0.034,0.035,0.035,79385033
2020-04-18,0.035,0.037,0.035,0.037,0.037,89893451
2020-04-19,0.037,0.037,0.036,0.036,0.036,87523446
2020-04-20,0.036,0.037,0.034,0.034,0.034,94301265
2020-04-21,0.034,0.035,0.034,0.035,0.035,86348515
2020-04-22,0.035,0.037,0.035,0.037,0.037,78891247
2020-04-23,0.037,0.042,0.037,0.041,0.041,162468134
2020-04-24,0.041,0.044,0.041,0.042,0.042,176233806
2020-04-25,0.042,0.044,0.041,0.042,0.042,101619889
2020-04-26,0.042,0.046,0.042,0.046,0.046,150611027
2020-04-27,0.046,0.048,0.045,0.047,0.047,168989554
2020-04-28,0.047,0.048,0.046,0.047,0.047,144584235
2020-04-29,0.047,0.052,0.047,0.052,0.052,192508666
2020-04-30,0.052,0.054,0.048,0.048,0.048,242494651
2020-05-01,0.048,0.052,0.048,0.051,0.051,169546437
2020-05-02,0.051,0.052,0.05,0.051,0.051,128138136
2020-05-03,0.051,0.052,0.048,0.049,0.049,139890791
2020-05-04,0.049,0.05,0.047,0.05,0.05,172243659
2020-05-05,0.05,0.051,0.049,0.049,0.049,128066778
2020-05-06,0.049,0.051,0.049,0.05,0.05,131357244
2020-05-07,0.05,0.051,0.049,0.051,0.051,143479708
2020-05-08,0.051,0.054,0.051,0.052,0.052,172647716
2020-05-09,0.052,0.053,0.052,0.052,0.052,141642171
2020-05-10,0.052,0.052,0.045,0.048,0.048,227335948
2020-05-11,0.048,0.049,0.045,0.048,0.048,206327744
2020-05-12,0.048,0.051,0.048,0.05,0.05,170879029
2020-05-13,0.05,0.052,0.05,0.051,0.051,148356780
2020-05-14,0.051,0.052,0.05,0.051,0.051,144469842
2020-05-15,0.051,0.052,0.05,0.05,0.05,142644324
2020-05-16,0.05,0.051,0.05,0.051,0.051,123913485
2020-05-17,0.051,0.052,0.051,0.051,0.051,115459525
2020-05-18,0.051,0.055,0.051,0.054,0.054,182874559
2020-05-19,0.054,0.057,0.053,0.056,0.056,186581379
2020-05-20,0.056,0.057,0.055,0.057,0.057,203310637
2020-05-21,0.057,0.057,0.051,0.052,0.052,228349552
2020-05-22,0.052,0.057,0.052,0.056,0.056,224368474
2020-05-23,0.056,0.056,0.054,0.055,0.055,131277191
2020-05-24,0.055,0.056,0.053,0.053,0.053,108565176
2020-05-25,0.052,0.054,0.051,0.054,0.054,183914564
2020-05-26,0.054,0.054,0.052,0.053,0.053,162232161
2020-05-27,0.053,0.056,0.053,0.055,0.055,185161265
2020-05-28,0.055,0.067,0.055,0.065,0.065,368087319
2020-05-29,0.065,0.067,0.063,0.065,0.065,393626086
2020-05-30,0.065,0.077,0.064,0.077,0.077,591436389
2020-05-31,0.077,0.086,0.073,0.074,0.074,848945702
2020-06-01,0.074,0.082,0.074,0.081,0.081,681780739
2020-06-02,0.081,0.082,0.074,0.078,0.078,588732847
2020-06-03,0.079,0.086,0.077,0.085,0.085,558410069
2020-06-04,0.085,0.09,0.084,0.089,0.089,593406535
2020-06-05,0.089,0.089,0.084,0.085,0.085,357717348
2020-06-06,0.085,0.087,0.085,0.086,0.086,230814840
2020-06-07,0.086,0.089,0.083,0.087,0.087,317140970
2020-06-08,0.087,0.087,0.085,0.086,0.086,212837064
2020-06-09,0.086,0.087,0.083,0.083,0.083,213123820
2020-06-10,0.083,0.084,0.08,0.084,0.084,326625304
2020-06-11,0.084,0.085,0.074,0.075,0.075,321763381
2020-06-12,0.075,0.081,0.075,0.08,0.08,244019082
2020-06-13,0.08,0.08,0.078,0.079,0.079,161430428
2020-06-14,0.079,0.079,0.076,0.077,0.077,142625977
2020-06-15,0.077,0.08,0.07,0.078,0.078,330333741
2020-06-16,0.078,0.08,0.077,0.079,0.079,216508724
2020-06-17,0.079,0.084,0.078,0.083,0.083,294705846
2020-06-18,0.083,0.084,0.08,0.082,0.082,244522788
2020-06-19,0.082,0.082,0.079,0.08,0.08,211649409
2020-06-20,0.08,0.08,0.077,0.079,0.079,167247006
2020-06-21,0.079,0.081,0.078,0.078,0.078,151949751
2020-06-22,0.078,0.084,0.078,0.084,0.084,202271174
2020-06-23,0.083,0.084,0.082,0.083,0.083,184078790
2020-06-24,0.083,0.087,0.081,0.083,0.083,302220209
2020-06-25,0.083,0.083,0.08,0.082,0.082,207010908
2020-06-26,0.082,0.082,0.08,0.081,0.081,163378517
2020-06-27,0.081,0.081,0.076,0.078,0.078,148184221
2020-06-28,0.078,0.081,0.076,0.08,0.08,188871401
2020-06-29,0.08,0.084,0.08,0.084,0.084,275593607
2020-06-30,0.084,0.085,0.082,0.083,0.083,208687716
2020-07-01,0.083,0.096,0.083,0.096,0.096,411496624
2020-07-02,0.097,0.097,0.089,0.094,0.094,416119936
2020-07-03,0.094,0.101,0.093,0.097,0.097,449087829
2020-07-04,0.097,0.101,0.096,0.1,0.1,325220890
2020-07-05,0.1,0.1,0.094,0.098,0.098,262132088
2020-07-06,0.098,0.106,0.097,0.105,0.105,336062177
2020-07-07,0.105,0.119,0.103,0.118,0.118,575537074
2020-07-08,0.117,0.137,0.116,0.13,0.13,1161107598
2020-07-09,0.13,0.13,0.118,0.124,0.124,659099389
2020-07-10,0.124,0.124,0.111,0.118,0.118,513272164
2020-07-11,0.118,0.127,0.118,0.125,0.125,393237279
2020-07-12,0.125,0.128,0.121,0.127,0.127,340033778
2020-07-13,0.127,0.135,0.122,0.124,0.124,553867759
2020-07-14,0.124,0.134,0.122,0.132,0.132,449379997
2020-07-15,0.132,0.132,0.128,0.13,0.13,292680349
2020-07-16,0.13,0.132,0.119,0.126,0.126,423824352
2020-07-17,0.126,0.126,0.122,0.122,0.122,231984863
2020-07-18,0.122,0.124,0.118,0.122,0.122,221333950
2020-07-19,0.122,0.125,0.121,0.124,0.124,159010744
2020-07-20,0.124,0.124,0.117,0.118,0.118,176280626
2020-07-21,0.118,0.124,0.117,0.123,0.123,208927329
2020-07-22,0.123,0.124,0.121,0.124,0.124,157853191
2020-07-23,0.124,0.126,0.124,0.124,0.124,201587814
2020-07-24,0.124,0.124,0.121,0.122,0.122,198707995
2020-07-25,0.122,0.145,0.122,0.144,0.144,630341416
2020-07-26,0.143,0.154,0.141,0.148,0.148,743098554
2020-07-27,0.148,0.149,0.13,0.139,0.139,745732008
2020-07-28,0.139,0.15,0.136,0.149,0.149,638080214
2020-07-29,0.149,0.149,0.139,0.14,0.14,451915307
2020-07-30,0.14,0.142,0.137,0.141,0.141,257573327
2020-07-31,0.141,0.141,0.137,0.139,0.139,230659122
2020-08-01,0.139,0.146,0.138,0.144,0.144,362476707
2020-08-02,0.144,0.147,0.13,0.134,0.134,421324885
2020-08-03,0.133,0.138,0.133,0.137,0.137,248378862
2020-08-04,0.137,0.148,0.137,0.143,0.143,376096013
2020-08-05,0.143,0.145,0.142,0.143,0.143,274829819
2020-08-06,0.143,0.146,0.141,0.144,0.144,278613533
2020-08-07,0.144,0.147,0.135,0.139,0.139,620550178
2020-08-08,0.139,0.147,0.138,0.146,0.146,325527431
2020-08-09,0.146,0.152,0.143,0.145,0.145,426878184
2020-08-10,0.145,0.147,0.143,0.144,0.144,311836535
2020-08-11,0.144,0.145,0.133,0.137,0.137,595072471
2020-08-12,0.137,0.139,0.125,0.137,0.137,434540367
2020-08-13,0.137,0.143,0.134,0.141,0.141,470617782
2020-08-14,0.141,0.142,0.138,0.138,0.138,355732407
2020-08-15,0.138,0.141,0.137,0.138,0.138,343504348
