Tanggal,Kurs
8/31/2023 12:00:00 AM,15237
8/30/2023 12:00:00 AM,15239
8/29/2023 12:00:00 AM,15263
8/28/2023 12:00:00 AM,15294
8/25/2023 12:00:00 AM,15297
8/24/2023 12:00:00 AM,15253
8/23/2023 12:00:00 AM,15319
8/22/2023 12:00:00 AM,15326
8/21/2023 12:00:00 AM,15329
8/18/2023 12:00:00 AM,15308
8/16/2023 12:00:00 AM,15308
8/15/2023 12:00:00 AM,15346
8/14/2023 12:00:00 AM,15323
8/11/2023 12:00:00 AM,15225
8/10/2023 12:00:00 AM,15204
8/9/2023 12:00:00 AM,15206
8/8/2023 12:00:00 AM,15229
8/7/2023 12:00:00 AM,15178
8/4/2023 12:00:00 AM,15168
8/3/2023 12:00:00 AM,15198
8/2/2023 12:00:00 AM,15171
8/1/2023 12:00:00 AM,15117
7/31/2023 12:00:00 AM,15092
7/28/2023 12:00:00 AM,15083
7/27/2023 12:00:00 AM,15003
7/26/2023 12:00:00 AM,15032
7/25/2023 12:00:00 AM,15007
7/24/2023 12:00:00 AM,15028
7/21/2023 12:00:00 AM,15026
7/20/2023 12:00:00 AM,14991
7/18/2023 12:00:00 AM,14994
7/17/2023 12:00:00 AM,15007
7/14/2023 12:00:00 AM,14945
7/13/2023 12:00:00 AM,14978
7/12/2023 12:00:00 AM,15084
7/11/2023 12:00:00 AM,15162
7/10/2023 12:00:00 AM,15192
7/7/2023 12:00:00 AM,15136
7/6/2023 12:00:00 AM,15062
7/5/2023 12:00:00 AM,15013
7/4/2023 12:00:00 AM,15018
7/3/2023 12:00:00 AM,15034
6/27/2023 12:00:00 AM,15000
6/26/2023 12:00:00 AM,15026
6/23/2023 12:00:00 AM,14998
6/22/2023 12:00:00 AM,14918
6/21/2023 12:00:00 AM,14982
6/20/2023 12:00:00 AM,15040
6/19/2023 12:00:00 AM,14994
6/16/2023 12:00:00 AM,14945
6/15/2023 12:00:00 AM,14943
6/14/2023 12:00:00 AM,14895
6/13/2023 12:00:00 AM,14868
6/12/2023 12:00:00 AM,14874
6/9/2023 12:00:00 AM,14853
6/8/2023 12:00:00 AM,14903
6/7/2023 12:00:00 AM,14875
6/6/2023 12:00:00 AM,14839
6/5/2023 12:00:00 AM,14888
5/31/2023 12:00:00 AM,15003
5/30/2023 12:00:00 AM,14969
5/29/2023 12:00:00 AM,14973
5/26/2023 12:00:00 AM,14959
5/25/2023 12:00:00 AM,14952
5/24/2023 12:00:00 AM,14905
5/23/2023 12:00:00 AM,14878
5/22/2023 12:00:00 AM,14897
5/19/2023 12:00:00 AM,14936
5/17/2023 12:00:00 AM,14875
5/16/2023 12:00:00 AM,14810
5/15/2023 12:00:00 AM,14812
5/12/2023 12:00:00 AM,14752
5/11/2023 12:00:00 AM,14722
5/10/2023 12:00:00 AM,14746
5/9/2023 12:00:00 AM,14757
5/8/2023 12:00:00 AM,14709
5/5/2023 12:00:00 AM,14674
5/4/2023 12:00:00 AM,14632
5/3/2023 12:00:00 AM,14706
5/2/2023 12:00:00 AM,14703
4/28/2023 12:00:00 AM,14661
4/27/2023 12:00:00 AM,14751
4/26/2023 12:00:00 AM,14882
4/18/2023 12:00:00 AM,14855
4/17/2023 12:00:00 AM,14773
4/14/2023 12:00:00 AM,14666
4/13/2023 12:00:00 AM,14792
4/12/2023 12:00:00 AM,14866
4/11/2023 12:00:00 AM,14888
4/10/2023 12:00:00 AM,14905
4/6/2023 12:00:00 AM,14943
4/5/2023 12:00:00 AM,14933
4/4/2023 12:00:00 AM,14913
4/3/2023 12:00:00 AM,14990
3/31/2023 12:00:00 AM,14977
3/30/2023 12:00:00 AM,15062
3/29/2023 12:00:00 AM,15094
3/28/2023 12:00:00 AM,15088
3/27/2023 12:00:00 AM,15174
3/24/2023 12:00:00 AM,15189
3/21/2023 12:00:00 AM,15349
