Kurs Jual,Kurs Beli,Tanggal
10877.77,10768.77,7-18-2023
10868.11,10756.07,7-17-2023
10881.08,10772.03,7-14-2023
10861.52,10749.59,7-13-2023
10846.19,10734.45,12-7-2023
10727.91,10617.43,11-7-2023
10620.46,10511.11,10-7-2023
10521.52,10414.66,7-7-2023
10453.15,10346.98,6-7-2023
10447.21,10342.55,5-7-2023
10435.23,10327.83,4-7-2023
10502.3,10395.63,3-7-2023
10545.48,10438.36,6-27-2023
10542.76,10437.13,6-26-2023
10570.07,10461.21,6-23-2023
10596,10486.87,6-22-2023
10663.28,10553.46,6-21-2023
10627.67,10519.69,6-20-2023
10640.22,10532.1,6-19-2023
10630.51,10522.49,6-16-2023
10694.78,10587.6,6-15-2023
10710.59,10602.49,6-14-2023
10717.21,10608.29,6-13-2023
10694.41,10585.73,12-6-2023
10718.89,10609.97,9-6-2023
10721.01,10612.05,8-6-2023
10715.81,10608.43,7-6-2023
10654.73,10547.96,6-6-2023
10789.27,10681.16,5-6-2023
10727.21,10618.21,5-31-2023
10714.8,10607.43,5-30-2023
10773.83,10665.85,5-29-2023
10780.37,10670.81,5-26-2023
10806.18,10696.34,5-25-2023
10802.19,10692.39,5-24-2023
10863.08,10751.86,5-23-2023
10866.28,10757.38,5-22-2023
10915.94,10804.96,5-19-2023
10963.5,10852.01,5-17-2023
10945.63,10835.92,5-16-2023
10997.52,10887.29,5-15-2023
10989.02,10877.25,12-5-2023
10958.91,10848.26,11-5-2023
10997.98,10887.75,10-5-2023
10951.66,10840.27,9-5-2023
11003.04,10891.12,8-5-2023
10921.84,10810.75,5-5-2023
10884.91,10775.81,4-5-2023
10740.3,10631.12,3-5-2023
10860.4,10751.54,2-5-2023
11079.78,10968.72,4-28-2023
11208.34,11094.32,4-27-2023
11124.64,11011.5,4-26-2023
11077.27,10966.23,4-18-2023
11149.27,11037.49,4-17-2023
11176.57,11062.87,4-14-2023
11164.5,11050.93,4-13-2023
11238.97,11126.3,12-4-2023
11338.67,11225.01,11-4-2023
11429.01,11310.98,10-4-2023
11422.23,11307.71,6-4-2023
11300.29,11185.31,5-4-2023
11278.69,11165.63,4-4-2023
11301.07,11186.09,3-4-2023
11428.7,11312.42,3-31-2023
11494.64,11375.95,3-30-2023
11561.91,11445.99,3-29-2023
11644.68,11526.17,3-28-2023
11717.92,11598.66,3-27-2023
11703.91,11584.81,3-24-2023
11780.43,11660.55,3-21-2023
11610.51,11494.12,3-20-2023
11643.44,11525.85,3-17-2023
11451.97,11335.49,3-16-2023
11578.2,11462.14,3-15-2023
11488.49,11373.33,3-14-2023
11407.75,11293.41,3-13-2023
11335.71,11220.46,10-3-2023
11296.56,11183.35,9-3-2023
11376.62,11260.92,8-3-2023
11329.48,11214.28,7-3-2023
11284.13,11169.39,6-3-2023
11224.39,11108.65,3-3-2023
11273.45,11158.81,2-3-2023
11199.33,11085.46,1-3-2023
11281.23,11166.52,2-28-2023
11339.23,11223.9,2-27-2023
11315.93,11202.51,2-24-2023
11359.25,11243.71,2-23-2023
11330.14,11214.9,2-22-2023
11370.91,11256.93,2-21-2023
11324.04,11208.86,2-20-2023
11396.46,11280.53,2-17-2023
11458.78,11342.21,2-16-2023
11540.5,11421.34,2-15-2023
11571.76,11454.02,2-14-2023
11687.3,11570.12,2-13-2023
11594.38,11478.14,10-2-2023
11606.54,11488.42,9-2-2023
11510.58,11393.47,8-2-2023
11472.76,11356.02,7-2-2023
11641.78,11523.25,6-2-2023
11616.53,11496.47,3-2-2023
11575.84,11457.14,2-2-2023
11581.06,11463.18,1-2-2023
11606.71,11488.55,1-31-2023
11584.49,11468.34,1-30-2023
11607.61,11489.45,1-27-2023
11523.79,11406.51,1-26-2023
11561.6,11443.92,1-25-2023
11787.62,11669.43,1-24-2023
11849.41,11728.75,1-20-2023
11687.68,11569.61,1-19-2023
11837.22,11714.89,1-18-2023
11797.79,11677.67,1-17-2023
11875.5,11754.58,1-16-2023
11737.35,11617.91,1-13-2023
11785.09,11665.18,12-1-2023
11855.42,11734.8,11-1-2023
11840.43,11721.73,10-1-2023
11698.31,11579.33,9-1-2023
11845.4,11725.77,6-1-2023
12050.28,11926.71,5-1-2023
12036.53,11915.85,4-1-2023
11951.02,11831.2,3-1-2023
11855.91,11735.28,2-1-2023
11816.77,11696.56,12-30-2022
11792.21,11674.01,12-29-2022
11842.35,11723.63,12-28-2022
11841.88,11719.64,12-27-2022
11836.24,11714.06,12-26-2022
11874.5,11755.46,12-23-2022
