NO;Tanggal;Kurs;
368;2/8/2023 12:00:00 AM;15122;
369;2/7/2023 12:00:00 AM;15139;
370;2/6/2023 12:00:00 AM;15055;
371;2/3/2023 12:00:00 AM;14898;
372;2/2/2023 12:00:00 AM;14868;
373;2/1/2023 12:00:00 AM;14991;
374;1/31/2023 12:00:00 AM;14992;
375;1/30/2023 12:00:00 AM;14979;
376;1/27/2023 12:00:00 AM;14978;
377;1/26/2023 12:00:00 AM;14964;
378;1/25/2023 12:00:00 AM;14958;
379;1/24/2023 12:00:00 AM;14930;
380;1/20/2023 12:00:00 AM;15121;
381;1/19/2023 12:00:00 AM;15113;
382;1/18/2023 12:00:00 AM;15137;
383;1/17/2023 12:00:00 AM;15154;
384;1/16/2023 12:00:00 AM;15019;
385;1/13/2023 12:00:00 AM;15177;
386;1/12/2023 12:00:00 AM;15366;
387;1/11/2023 12:00:00 AM;15527;
388;1/10/2023 12:00:00 AM;15589;
389;1/9/2023 12:00:00 AM;15574;
390;1/6/2023 12:00:00 AM;15635;
391;1/5/2023 12:00:00 AM;15610;
392;1/4/2023 12:00:00 AM;15615;
393;1/3/2023 12:00:00 AM;15590;
394;1/2/2023 12:00:00 AM;15572;
395;12/30/2022 12:00:00 AM;15592;
396;12/29/2022 12:00:00 AM;15731;
397;12/28/2022 12:00:00 AM;15703;
398;12/27/2022 12:00:00 AM;15659;
399;12/26/2022 12:00:00 AM;15636;
400;12/23/2022 12:00:00 AM;15605;
401;12/22/2022 12:00:00 AM;15594;
402;12/21/2022 12:00:00 AM;15601;
403;12/20/2022 12:00:00 AM;15608;
404;12/19/2022 12:00:00 AM;15621;
405;12/16/2022 12:00:00 AM;15617;
406;12/15/2022 12:00:00 AM;15630;
407;12/14/2022 12:00:00 AM;15619;
408;12/13/2022 12:00:00 AM;15661;
409;12/12/2022 12:00:00 AM;15642;
410;12/9/2022 12:00:00 AM;15587;
411;12/8/2022 12:00:00 AM;15624;
412;12/7/2022 12:00:00 AM;15619;
413;12/6/2022 12:00:00 AM;15576;
414;12/5/2022 12:00:00 AM;15409;
415;12/2/2022 12:00:00 AM;15429;
416;12/1/2022 12:00:00 AM;15617;
417;11/30/2022 12:00:00 AM;15742;
418;11/29/2022 12:00:00 AM;15737;
419;11/28/2022 12:00:00 AM;15729;
420;11/25/2022 12:00:00 AM;15668;
421;11/24/2022 12:00:00 AM;15647;
422;11/23/2022 12:00:00 AM;15700;
423;11/22/2022 12:00:00 AM;15716;
424;11/21/2022 12:00:00 AM;15707;
