Kurs Jual,Kurs Beli,Tanggal
10692.83,10585.73,2024-25-01
10659.36,10551.15,2024-24-01
10607.28,10501.02,2024-23-01
10593.65,10484.7,2024-22-01
10625.82,10519.38,2024-19-01
10635.53,10527.58,2024-18-01
10719.63,10610.79,2024-17-01
10748.6,10640.93,2024-16-01
10772.86,10664.92,2024-15-01
10753.64,10644.44,2024-12-01
10795.45,10685.82,2024-11-01
10825.76,10715.81,2024-10-01
10803.05,10693.34,2024-09-01
10756.32,10647.09,2024-08-01
10878.98,10769.98,2024-05-01
10931.89,10822.35,2024-04-01
10987.32,10875.7,2024-03-01
10976.37,10864.85,2024-02-01
11010.65,10898.76,2023-29-12
10858.73,10748.43,2023-28-12
10939.94,10830.33,2023-27-12
10896.74,10787.55,2023-22-12
10857.75,10748.97,2023-21-12
10804.64,10696.39,2023-20-12
10954.39,10844.63,2023-19-12
10977.6,10867.61,2023-18-12
10969.75,10858.3,2023-15-12
10775.3,10665.88,2023-14-12
10797.42,10687.77,2023-13-12
10718.63,10611.25,2023-12-12
10816.96,10708.58,2023-11-12
10722.21,10614.79,2023-08-12
10606.17,10498.49,2023-07-12
10614.11,10506.35,2023-06-12
10559.3,10452.1,2023-05-12
10523.86,10417.04,2023-04-12
10582.4,10476.39,2023-01-12
10494.79,10389.66,2023-30-11
10456.76,10352.02,2023-29-11
10470.1,10365.22,2023-28-11
10484.53,10378.13,2023-27-11
10501.92,10396.72,2023-24-11
10514.88,10409.56,2023-23-11
10513.13,10407.82,2023-22-11
10406.35,10302.12,2023-21-11
10357.99,10252.88,2023-20-11
10354.09,10249.02,2023-17-11
10342.88,10237.93,2023-16-11
10404.58,10300.36,2023-15-11
10407.68,10303.43,2023-14-11
10417.78,10313.43,2023-13-11
10422.99,10318.59,2023-10-11
10426.25,10321.82,2023-09-11
10415.37,10311.05,2023-08-11
10440.77,10334.81,2023-07-11
10543.37,10437.77,2023-06-11
10599.32,10490.35,2023-03-11
10589.22,10483.16,2023-02-11
10629.03,10522.56,2023-01-11
10698.67,10591.51,2023-31-10
10669.09,10562.23,2023-30-10
10643.18,10536.57,2023-27-10
10642.08,10534.09,2023-26-10
10670.64,10563.77,2023-25-10
10688.23,10581.16,2023-24-10
10626.35,10519.92,2023-23-10
10626.34,10518.5,2023-20-10
10558.78,10451.62,2023-19-10
10558.51,10451.36,2023-18-10
10559.99,10454.22,2023-17-10
10550.35,10443.28,2023-16-10
10579.59,10472.21,2023-13-10
10611.3,10505.01,2023-12-10
10596.42,10490.27,2023-11-10
10561.4,10454.91,2023-10-10
10549.53,10443.16,2023-09-10
10518.58,10411.83,2023-06-10
10557.77,10451.31,2023-05-10
10468.05,10363.2,2023-04-10
10417.17,10312.15,2023-03-10
10462.08,10354.5,2023-02-10
10472.94,10366.64,2023-29-09
10443.03,10335.65,2023-27-09
10424.36,10318.54,2023-26-09
10426.87,10321.72,2023-25-09
10437.77,10333.21,2023-22-09
10447.66,10342.3,2023-21-09
10472.13,10364.41,2023-20-09
10459.59,10352.02,2023-19-09
10453.38,10348.68,2023-18-09
10479.92,10374.95,2023-15-09
10486.75,10380.29,2023-14-09
10503.15,10396.51,2023-13-09
10554.63,10448.9,2023-12-09
10461.19,10355.7,2023-11-09
10452.16,10347.46,2023-08-09
10440.13,10334.15,2023-07-09
10437.83,10331.86,2023-06-09
10468.12,10361.83,2023-05-09
10542.86,10435.8,2023-04-09
10499.27,10391.95,2023-01-09
10462.62,10357.82,2023-31-08
10474.82,10369.87,2023-30-08
10491.79,10385.27,2023-29-08
10529.07,10423.58,2023-28-08
10547.9,10440.8,2023-25-08
